Title,Release,NumSubjects,SubjectName,SubjectType,SubjectRace,PersonOfColor,SubjectSex,LeadActor,Period
1987,2014,1,Ricardo Trogi,Other,White,0,Male,Jean-Carl Boucher,2000--2014
American Sniper,2014,1,Chris Kyle,Military,NA,0,Male,Bradley Cooper,2000--2014
Big Eyes,2014,1,Margaret Keane,Artist,White,0,Female,Amy Adams,2000--2014
Cesar Chavez,2014,1,Cesar Chavez,Activist,Hispanic (Latino),1,Male,Michael PeÌ±a,2000--2014
Desert Dancer,2014,1,Afshin Ghaffarian,Artist,Middle Eastern,1,Male,Reece Ritchie,2000--2014
Digging Up the Marrow,2014,1,Adam Green,Other,NA,0,Male,Adam Green,2000--2014
Exodus: Gods and Kings,2014,1,Moses,Historical,Middle Eastern (White),0,Male,Christian Bale,2000--2014
Foxcatcher,2014,1,Mark Schultz,Athlete,White,0,Male,Channing Tatum,2000--2014
Get on Up,2014,1,James Brown,Singer,African American,1,Male,Chadwick Boseman,2000--2014
Grace of Monaco,2014,1,Grace Kelly,Actress,White,0,Male,Nicole Kidman,2000--2014
Jamesy Boy,2014,1,James Burns,Criminal,NA,0,Male,Spencer Lofranco,2000--2014
Jersey Boys,2014,4,Bob Gaudio,Musician,White,0,Male,Erich Bergen,2000--2014
Jersey Boys,2014,4,Frankie Valli,Musician,White,0,Male,John Lloyd Young,2000--2014
Jersey Boys,2014,4,Nick Massi,Musician,White,0,Male,Michael Lomenda,2000--2014
Jersey Boys,2014,4,Tommy DeVito,Musician,White,0,Male,Vincent Piazza,2000--2014
Kid Cannabis,2014,1,Nate Norman,Criminal,NA,0,Male,Jonathan Daniel Brown,2000--2014
Kill the Messenger,2014,1,Gary Webb,Media,NA,0,Male,Jeremy Renner,2000--2014
Love & Mercy,2014,1,Brian Wilson,Musician,White,0,Male,John Cusack,2000--2014
Low Down,2014,1,Joe Albany,Musician,White,0,Male,John Hawkes,2000--2014
Million Dollar Arm,2014,1,J. B. Bernstein,Athlete,White,0,Male,Jon Hamm,2000--2014
Mr. Turner,2014,1,J.M.W. Turner,Artist,White,0,Male,Timothy Spall,2000--2014
Ragamuffin,2014,1,Rich Mullins,Singer,White,0,Male,David Schultz,2000--2014
Rosewater,2014,1,Maziar Bahari,Media,Middle Eastern,1,Male,Gael GarcÌ_a Bernal,2000--2014
Selma,2014,1,"Martin Luther King, Jr",Activist,African American,1,Male,David Oyelowo,2000--2014
Set Fire to the Stars,2014,1,Dylan Thomas,Author (poet),White,0,Male,Celyn Jones,2000--2014
Son of God,2014,1,Jesus,Historical,Middle Eastern (White),0,Male,Diogo Morgado,2000--2014
Testament of Youth,2014,1,Vera Brittain,Other,NA,0,Female,Alicia Vikander,2000--2014
The Better Angels,2014,1,Abraham Lincoln,World leader,White,0,Male,Jason Clarke,2000--2014
The Brittany Murphy Story,2014,1,Brittany Murphy,Actress,White,0,Female,Amanda Fuller,2000--2014
The Imitation Game,2014,1,Alan Turing,Academic,White,0,Male,Benedict Cumberbatch,2000--2014
The Theory of Everything,2014,1,Steven Hawking,Academic,White,0,Male,Eddie Redmayne,2000--2014
Unbroken,2014,1,Louis Zamperini,Athlete / military,White,0,Male,Jack O'Connell,2000--2014
Wild,2014,1,Cheryl Strayed,Other,NA,0,Female,Reese Witherspoon,2000--2014
12 Years a Slave,2013,1,Solomon Northup,Other,African American,1,Male,Chiwetel Ejiofor,2000--2014
42,2013,1,Jackie Robinson,Athlete,African American,1,Male,Chadwick Boseman,2000--2014
Blue Caprice,2013,1,John Allen Muhammad,Criminal,African American,1,Male,Isaiah Washington,2000--2014
Burning Blue,2013,1,DMW Greer,Military,NA,0,Male,Trent Ford,2000--2014
